algorithm,seed,cost_function,value,name,level
IQL,1,electricity_consumption_total,0.6842669495713367,Building_3,building
IQL,1,zero_net_energy,0.6678691484684941,Building_3,building
IQL,1,carbon_emissions_total,0.6749409980059815,Building_3,building
IQL,1,cost_total,0.6429710795460538,Building_3,building
IQL,1,discomfort_proportion,0.4925124792013311,Building_3,building
IQL,1,discomfort_cold_proportion,0.0,Building_3,building
IQL,1,discomfort_hot_proportion,0.4925124792013311,Building_3,building
IQL,1,discomfort_cold_delta_minimum,0.0,Building_3,building
IQL,1,discomfort_cold_delta_maximum,1.053457260131836,Building_3,building
IQL,1,discomfort_cold_delta_average,0.03507659170362684,Building_3,building
IQL,1,discomfort_hot_delta_minimum,0.0,Building_3,building
IQL,1,discomfort_hot_delta_maximum,6.886098861694336,Building_3,building
IQL,1,discomfort_hot_delta_average,1.7438760227627224,Building_3,building
IQL,1,one_minus_thermal_resilience_proportion,0.8,Building_3,building
IQL,1,power_outage_normalized_unserved_energy_total,0.5382580529877002,Building_3,building
IQL,1,annual_normalized_unserved_energy_total,0.01138968073062645,Building_3,building
IQL,2,all_time_peak_average,0.887730887809472,District,district
IQL,2,annual_normalized_unserved_energy_total,0.011677422553549836,District,district
IQL,2,carbon_emissions_total,0.5920404053522177,District,district
IQL,2,cost_total,0.5641397693861832,District,district
IQL,2,daily_one_minus_load_factor_average,1.1732600513063454,District,district
IQL,2,daily_peak_average,0.7803998673817613,District,district
IQL,2,discomfort_cold_delta_average,0.015327423590200917,District,district
IQL,2,discomfort_cold_delta_maximum,0.7562611897786459,District,district
IQL,2,discomfort_cold_delta_minimum,0.0,District,district
IQL,2,discomfort_cold_proportion,0.0,District,district
IQL,2,discomfort_hot_delta_average,3.534231425214697,District,district
IQL,2,discomfort_hot_delta_maximum,9.409406026204428,District,district
IQL,2,discomfort_hot_delta_minimum,0.0,District,district
IQL,2,discomfort_hot_proportion,0.6912905821848604,District,district
IQL,2,discomfort_proportion,0.6912905821848604,District,district
IQL,2,electricity_consumption_total,0.5976501737628106,District,district
IQL,2,monthly_one_minus_load_factor_average,1.0848692536250726,District,district
IQL,2,one_minus_thermal_resilience_proportion,0.953968253968254,District,district
IQL,2,power_outage_normalized_unserved_energy_total,0.5261197587982286,District,district
IQL,2,ramping_average,0.8950333345356956,District,district
IQL,2,zero_net_energy,0.5648094469316303,District,district
IQL,2,electricity_consumption_total,0.4612387634874849,Building_1,building
IQL,2,zero_net_energy,0.38068450019407857,Building_1,building
IQL,2,carbon_emissions_total,0.4580290397045909,Building_1,building
IQL,2,cost_total,0.4360006923244682,Building_1,building
IQL,2,discomfort_proportion,0.9803646563814866,Building_1,building
IQL,2,discomfort_cold_proportion,0.0,Building_1,building
IQL,2,discomfort_hot_proportion,0.9803646563814866,Building_1,building
IQL,2,discomfort_cold_delta_minimum,0.0,Building_1,building
IQL,2,discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
IQL,2,discomfort_cold_delta_average,0.0003257698482937283,Building_1,building
IQL,2,discomfort_hot_delta_minimum,0.0,Building_1,building
IQL,2,discomfort_hot_delta_maximum,12.799690246582031,Building_1,building
IQL,2,discomfort_hot_delta_average,6.847861385345459,Building_1,building
IQL,2,one_minus_thermal_resilience_proportion,1.0,Building_1,building
IQL,2,power_outage_normalized_unserved_energy_total,0.5202668169862646,Building_1,building
IQL,2,annual_normalized_unserved_energy_total,0.010799686919494343,Building_1,building
IQL,2,electricity_consumption_total,0.6621919725762537,Building_2,building
IQL,2,zero_net_energy,0.6622915071680191,Building_2,building
IQL,2,carbon_emissions_total,0.6579687745442663,Building_2,building
IQL,2,cost_total,0.6284151711892756,Building_2,building
IQL,2,discomfort_proportion,0.5261194029850746,Building_2,building
IQL,2,discomfort_cold_proportion,0.0,Building_2,building
IQL,2,discomfort_hot_proportion,0.5261194029850746,Building_2,building
IQL,2,discomfort_cold_delta_minimum,0.0,Building_2,building
IQL,2,discomfort_cold_delta_maximum,1.3091583251953125,Building_2,building
IQL,2,discomfort_cold_delta_average,0.021184635162353516,Building_2,building
IQL,2,discomfort_hot_delta_minimum,0.0,Building_2,building
IQL,2,discomfort_hot_delta_maximum,8.190160751342773,Building_2,building
IQL,2,discomfort_hot_delta_average,1.7699314064449734,Building_2,building
IQL,2,one_minus_thermal_resilience_proportion,0.9285714285714286,Building_2,building
IQL,2,power_outage_normalized_unserved_energy_total,0.516328096302714,Building_2,building
IQL,2,annual_normalized_unserved_energy_total,0.012039443161341623,Building_2,building
IQL,2,electricity_consumption_total,0.6695197852246932,Building_3,building
IQL,2,zero_net_energy,0.651452333432793,Building_3,building
IQL,2,carbon_emissions_total,0.6601234018077958,Building_3,building
IQL,2,cost_total,0.6280034446448058,Building_3,building
IQL,2,discomfort_proportion,0.56738768718802,Building_3,building
IQL,2,discomfort_cold_proportion,0.0,Building_3,building
IQL,2,discomfort_hot_proportion,0.56738768718802,Building_3,building
IQL,2,discomfort_cold_delta_minimum,0.0,Building_3,building
IQL,2,discomfort_cold_delta_maximum,0.8360557556152344,Building_3,building
IQL,2,discomfort_cold_delta_average,0.02447186575995551,Building_3,building
IQL,2,discomfort_hot_delta_minimum,0.0,Building_3,building
IQL,2,discomfort_hot_delta_maximum,7.238367080688477,Building_3,building
IQL,2,discomfort_hot_delta_average,1.984901483853658,Building_3,building
IQL,2,one_minus_thermal_resilience_proportion,0.9333333333333333,Building_3,building
IQL,2,power_outage_normalized_unserved_energy_total,0.5417643631057069,Building_3,building
IQL,2,annual_normalized_unserved_energy_total,0.012193137579813539,Building_3,building
IQL,3,all_time_peak_average,0.8993411584578798,District,district
IQL,3,annual_normalized_unserved_energy_total,0.01167360746604774,District,district
IQL,3,carbon_emissions_total,0.5956147334521277,District,district
IQL,3,cost_total,0.5693212437662355,District,district
IQL,3,daily_one_minus_load_factor_average,1.1702846083405871,District,district
IQL,3,daily_peak_average,0.7848462157639001,District,district
IQL,3,discomfort_cold_delta_average,0.01912321867766204,District,district
IQL,3,discomfort_cold_delta_maximum,0.9514319101969401,District,district
IQL,3,discomfort_cold_delta_minimum,0.0,District,district
IQL,3,discomfort_cold_proportion,0.0,District,district
IQL,3,discomfort_hot_delta_average,3.333931419584486,District,district
IQL,3,discomfort_hot_delta_maximum,9.317708333333334,District,district
IQL,3,discomfort_hot_delta_minimum,0.0,District,district
IQL,3,discomfort_hot_proportion,0.6674999979391885,District,district
IQL,3,discomfort_proportion,0.6674999979391885,District,district
IQL,3,electricity_consumption_total,0.601386805310385,District,district
IQL,3,monthly_one_minus_load_factor_average,1.0851577008604827,District,district
IQL,3,one_minus_thermal_resilience_proportion,0.9301587301587301,District,district
IQL,3,power_outage_normalized_unserved_energy_total,0.5418078049082089,District,district
IQL,3,ramping_average,0.8995141603546353,District,district
IQL,3,zero_net_energy,0.5687867137338026,District,district
IQL,3,electricity_consumption_total,0.477820436592128,Building_1,building
IQL,3,zero_net_energy,0.3969248474658996,Building_1,building
IQL,3,carbon_emissions_total,0.4751558974232277,Building_1,building
IQL,3,cost_total,0.4529855572269365,Building_1,building
IQL,3,discomfort_proportion,0.9761570827489481,Building_1,building
IQL,3,discomfort_cold_proportion,0.0,Building_1,building
IQL,3,discomfort_hot_proportion,0.9761570827489481,Building_1,building
IQL,3,discomfort_cold_delta_minimum,0.0,Building_1,building
IQL,3,discomfort_cold_delta_maximum,0.12356948852539062,Building_1,building
